shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_3_0_1,38.663587,-9.208982,0,0
shp_3_0_1,38.663587,-9.208957,1,2.187989277214655
shp_3_0_1,38.663596,-9.208353,2,54.594703043448014
shp_3_0_1,38.663602,-9.207575,3,122.138868477152215
shp_3_0_1,38.663606,-9.207173,4,157.096401783753521
shp_3_0_1,38.663609,-9.206854,5,184.786420801761324
shp_3_0_1,38.663609,-9.206834,6,186.540558456369212
shp_3_0_1,38.663611,-9.206680,7,199.914358748120321
shp_3_0_1,38.663614,-9.206198,8,241.712920401834879
shp_3_0_1,38.663622,-9.205505,9,301.923417593308841
shp_3_0_1,38.663627,-9.205162,10,331.735126338948248
shp_3_0_1,38.663629,-9.205108,11,336.394719136375784
shp_3_0_1,38.663632,-9.205061,12,340.528258636613202
shp_3_0_1,38.663636,-9.205014,13,344.578959832536384
shp_3_0_1,38.663642,-9.204955,14,349.717628142899059
shp_3_0_1,38.663646,-9.204918,15,352.991229774822955
shp_3_0_1,38.663648,-9.204898,16,354.799599937079051
shp_3_0_1,38.663651,-9.204877,17,356.621809149551154
shp_3_0_1,38.663653,-9.204864,18,357.783311223568376
shp_3_0_1,38.663655,-9.204849,19,359.051380243453082
shp_3_0_1,38.663660,-9.204813,20,362.232077404380789
shp_3_0_1,38.663664,-9.204787,21,364.543601635188338
shp_3_0_1,38.663669,-9.204763,22,366.710643479365388
shp_3_0_1,38.663676,-9.204724,23,370.134362529136979
shp_3_0_1,38.663679,-9.204707,24,371.688790849527493
shp_3_0_1,38.663685,-9.204677,25,374.436431632096287
shp_3_0_1,38.663769,-9.204284,26,409.746578115007651
shp_3_0_1,38.663776,-9.204254,27,412.508913953449735
shp_3_0_1,38.663788,-9.204199,28,417.456503164748142
shp_3_0_1,38.663821,-9.204055,29,430.461665435381121
shp_3_0_1,38.663831,-9.204010,30,434.546011535509535
shp_3_0_1,38.664119,-9.202681,31,554.254850519607317
shp_3_0_1,38.664133,-9.202608,32,560.856793678982513
shp_3_0_1,38.664152,-9.202513,33,569.351685329526617
shp_3_0_1,38.664213,-9.202187,34,598.377775735873911
shp_3_0_1,38.664379,-9.201140,35,691.222315770345176
shp_3_0_1,38.664442,-9.200749,36,725.887687728308720
shp_3_0_1,38.664460,-9.200643,37,735.265028963074997
shp_3_0_1,38.664519,-9.200282,38,767.270477791958683
shp_3_0_1,38.664582,-9.199945,39,797.400264273485504
shp_3_0_1,38.664670,-9.199399,40,845.823689136196549
shp_3_0_1,38.664741,-9.198931,41,887.150653868554855
shp_3_0_1,38.664831,-9.198371,42,936.807650391645666
shp_3_0_1,38.664864,-9.198151,43,956.279120398464670
shp_3_0_1,38.664885,-9.197992,44,970.262236547081898
shp_3_0_1,38.664904,-9.197822,45,985.159231188748549
shp_3_0_1,38.664914,-9.197661,46,999.227797004571698
shp_3_0_1,38.664919,-9.197503,47,1012.912341292562701
shp_3_0_1,38.664922,-9.197380,48,1023.599462979571172
shp_3_0_1,38.664924,-9.197327,49,1028.204474666283204
shp_3_0_1,38.664937,-9.196923,50,1063.292311894715795
shp_3_0_1,38.664941,-9.196770,51,1076.610816764932906
shp_3_0_1,38.664951,-9.196582,52,1092.987055951625734
shp_3_0_1,38.664983,-9.196405,53,1108.735013508485054
shp_3_0_1,38.665037,-9.196202,54,1127.340370912655317
shp_3_0_1,38.665099,-9.196025,55,1144.190541211101163
shp_3_0_1,38.665182,-9.195854,56,1161.695574399243469
shp_3_0_1,38.665270,-9.195668,57,1180.617387159698410
shp_3_0_1,38.665330,-9.195546,58,1193.091575436781113
