pattern_id_tml_temp,route_id,route_short_name,direction_id,shape_id,stop_sequence,stop_id,stop_name,stop_lat,stop_lon
100_0_2,100_0,708,1,100_0_DESC_shp,0,50449,Sacavém (Urb. Real Forte),38.7941695,-9.103694
100_0_2,100_0,708,1,100_0_DESC_shp,1,50127,Rot. Oliveiras,38.7806036,-9.096485
100_0_2,100_0,708,1,100_0_DESC_shp,2,50125,Jardim Jacarandás,38.7787075,-9.0954112
100_0_2,100_0,708,1,100_0_DESC_shp,3,50123,Cais Olival,38.776037,-9.0951519
100_0_2,100_0,708,1,100_0_DESC_shp,4,7824,Av. Boa Esperança,38.7743951,-9.0974991
100_0_2,100_0,708,1,100_0_DESC_shp,5,7822,Av. D. João II,38.7713255,-9.097763
100_0_2,100_0,708,1,100_0_DESC_shp,6,7825,Estação Oriente,38.7671733,-9.0990935
100_0_2,100_0,708,1,100_0_DESC_shp,7,7712,Av. Berlim / Tv. Courelas,38.7678105,-9.106065
100_0_2,100_0,708,1,100_0_DESC_shp,8,50330,Av. Berlim (Pç. Baden Powell),38.7681125,-9.109062
100_0_2,100_0,708,1,100_0_DESC_shp,9,7719,Av. Berlim,38.7669445,-9.110168
100_0_2,100_0,708,1,100_0_DESC_shp,10,7718,Esc. Olivais,38.7648965,-9.109776
100_0_2,100_0,708,1,100_0_DESC_shp,11,50450,Pç. República,38.796552,-9.104074
100_0_2,100_0,708,1,100_0_DESC_shp,12,7725,R. Cidade Benguela (Mercado),38.7654785,-9.11089
100_0_2,100_0,708,1,100_0_DESC_shp,13,7723,R. Cidade Benguela,38.7657825,-9.113347
100_0_2,100_0,708,1,100_0_DESC_shp,14,8438,R. Cidade Novo Redondo,38.7650075,-9.116213
100_0_2,100_0,708,1,100_0_DESC_shp,15,8433,Olivais (Centro Cívico),38.7621665,-9.11661
100_0_2,100_0,708,1,100_0_DESC_shp,16,8435,C. Comercial Olivais,38.7615075,-9.113984
100_0_2,100_0,708,1,100_0_DESC_shp,17,8413,R. Cidade Bissau (Metro),38.7604745,-9.111995
100_0_2,100_0,708,1,100_0_DESC_shp,18,8406,Cabo Ruivo - Av. Mar. Gomes Costa,38.7590356,-9.113402
100_0_2,100_0,708,1,100_0_DESC_shp,19,8408,Av. Mar. Gomes Costa (Poço Cortes),38.7601535,-9.1171
100_0_2,100_0,708,1,100_0_DESC_shp,20,7504,Av. Mar. Gomes Costa (Qta. Teresinhas),38.7616235,-9.121815
100_0_2,100_0,708,1,100_0_DESC_shp,21,7514,Av. Alm. Gago Coutinho (Rot. Relógio),38.7621065,-9.129797
100_0_2,100_0,708,1,100_0_DESC_shp,22,50451,Estação Sacavém,38.7960855,-9.099622
100_0_2,100_0,708,1,100_0_DESC_shp,23,7512,Qta. Narigão,38.7582505,-9.130183
100_0_2,100_0,708,1,100_0_DESC_shp,24,7413,Av. Gago Coutinho / Av. D. Rodrigo Cunha,38.7537975,-9.130615
100_0_2,100_0,708,1,100_0_DESC_shp,25,7304,Qta. Sto. António,38.7518976,-9.130814
100_0_2,100_0,708,1,100_0_DESC_shp,26,7308,Av. Alm. Gago Coutinho / Av. EUA,38.7479976,-9.13119
100_0_2,100_0,708,1,100_0_DESC_shp,27,310,Av. Alm. Gago Coutinho,38.7451975,-9.131547
100_0_2,100_0,708,1,100_0_DESC_shp,28,308,Areeiro - Av. Alm. Gago Coutinho,38.7432895,-9.132829
100_0_2,100_0,708,1,100_0_DESC_shp,29,404,Pç. João Rio,38.7405115,-9.133633
100_0_2,100_0,708,1,100_0_DESC_shp,30,410,Alameda D. A. Henriques,38.7371805,-9.133988
100_0_2,100_0,708,1,100_0_DESC_shp,31,506,Pç. Chile / Av. Almirante Reis,38.7324635,-9.134399
100_0_2,100_0,708,1,100_0_DESC_shp,32,610,Av. Almirante Reis / R. Marques Silva,38.7287775,-9.13478
100_0_2,100_0,708,1,100_0_DESC_shp,33,13573,Parque Nações Norte,38.7934776,-9.097765
100_0_2,100_0,708,1,100_0_DESC_shp,34,608,Av. Almirante Reis / R. Angola,38.7255755,-9.135088
100_0_2,100_0,708,1,100_0_DESC_shp,35,702,Igreja Anjos,38.7219445,-9.135458
100_0_2,100_0,708,1,100_0_DESC_shp,36,804,R. Palma,38.7191575,-9.135732
100_0_2,100_0,708,1,100_0_DESC_shp,37,807,Martim Moniz,38.7157725,-9.136933
100_0_2,100_0,708,1,100_0_DESC_shp,38,50304,Via Oriente,38.7920755,-9.099366
100_0_2,100_0,708,1,100_0_DESC_shp,39,50305,R. Chen He,38.7887675,-9.098442
100_0_2,100_0,708,1,100_0_DESC_shp,40,50306,Passeio Tejo,38.7858465,-9.096794
100_0_2,100_0,708,1,100_0_DESC_shp,41,50131,Rossio do Levante,38.7832085,-9.095125
100_0_2,100_0,708,1,100_0_DESC_shp,42,50129,Av. Peregrinação,38.7822215,-9.095741
100_0_3,100_0,708,0,100_0_ASC_shp,0,807,Martim Moniz,38.7157725,-9.136933
100_0_3,100_0,708,0,100_0_ASC_shp,1,317,Areeiro - Av. Alm. Gago Coutinho,38.7434095,-9.132412
100_0_3,100_0,708,0,100_0_ASC_shp,2,313,Av. Alm. Gago Coutinho,38.7456975,-9.131126
100_0_3,100_0,708,0,100_0_ASC_shp,3,7305,Av. Alm. Gago Coutinho / Av. EUA,38.7495976,-9.130746
100_0_3,100_0,708,0,100_0_ASC_shp,4,7307,Qta. Sto. António,38.7525976,-9.130456
100_0_3,100_0,708,0,100_0_ASC_shp,5,7401,Av. Gago Coutinho / Av. D. Rodrigo Cunha,38.7550905,-9.130203
100_0_3,100_0,708,0,100_0_ASC_shp,6,7507,Qta. Narigão,38.7579115,-9.129926
100_0_3,100_0,708,0,100_0_ASC_shp,7,7505,Av. Alm. Gago Coutinho (Rot. Relógio),38.7623676,-9.129449
100_0_3,100_0,708,0,100_0_ASC_shp,8,7509,Av. Mar. Gomes Costa (Qta. Teresinhas),38.7612255,-9.121939
100_0_3,100_0,708,0,100_0_ASC_shp,9,8407,Av. Mar. Gomes Costa (Poço Cortes),38.7597596,-9.116768
100_0_3,100_0,708,0,100_0_ASC_shp,10,8409,Cabo Ruivo - Av. Mar. Gomes Costa,38.7587585,-9.113433
100_0_3,100_0,708,0,100_0_ASC_shp,11,818,Martim Moniz,38.7160395,-9.135708
100_0_3,100_0,708,0,100_0_ASC_shp,12,8414,R. Cidade Bissau (Metro),38.7603525,-9.111669
100_0_3,100_0,708,0,100_0_ASC_shp,13,8419,C. Comercial Olivais - R. Cidade Bissau,38.7630286,-9.114063
100_0_3,100_0,708,0,100_0_ASC_shp,14,8443,R. Cidade Novo Redondo,38.7649375,-9.116056
100_0_3,100_0,708,0,100_0_ASC_shp,15,7722,R. Cidade Benguela,38.7659416,-9.113016
100_0_3,100_0,708,0,100_0_ASC_shp,16,7724,R. Cidade Benguela (Mercado),38.7651855,-9.110914
100_0_3,100_0,708,0,100_0_ASC_shp,17,7717,Esc. Olivais,38.7652835,-9.109611
100_0_3,100_0,708,0,100_0_ASC_shp,18,7715,Av. Berlim,38.7674425,-9.110034
100_0_3,100_0,708,0,100_0_ASC_shp,19,7711,Av. Berlim / Tv. Courelas,38.7676875,-9.105836
100_0_3,100_0,708,0,100_0_ASC_shp,20,7805,Estação Oriente,38.7684725,-9.098831
100_0_3,100_0,708,0,100_0_ASC_shp,21,7821,Av. D. João II,38.7715546,-9.097341
100_0_3,100_0,708,0,100_0_ASC_shp,22,803,R. Palma,38.7191377,-9.1355621
100_0_3,100_0,708,0,100_0_ASC_shp,23,7823,Av. Boa Esperança,38.7744975,-9.09709
100_0_3,100_0,708,0,100_0_ASC_shp,24,50122,Cais Olival,38.7761376,-9.094966
100_0_3,100_0,708,0,100_0_ASC_shp,25,50124,Jardim Jacarandás,38.7787565,-9.095243
100_0_3,100_0,708,0,100_0_ASC_shp,26,50126,Rot. Oliveiras,38.780684,-9.0964199
100_0_3,100_0,708,0,100_0_ASC_shp,27,50128,Av. Peregrinação,38.7821835,-9.095388
100_0_3,100_0,708,0,100_0_ASC_shp,28,50130,Rossio do Levante,38.7831765,-9.094079
100_0_3,100_0,708,0,100_0_ASC_shp,29,50300,Passeio Tejo,38.7859675,-9.096475
100_0_3,100_0,708,0,100_0_ASC_shp,30,50340,R. Chen He,38.7887535,-9.099534
100_0_3,100_0,708,0,100_0_ASC_shp,31,50302,Via Oriente,38.7916425,-9.099201
100_0_3,100_0,708,0,100_0_ASC_shp,32,50303,Parque Nações Norte,38.7937705,-9.09754
100_0_3,100_0,708,0,100_0_ASC_shp,33,701,Igreja Anjos,38.7221495,-9.135259
100_0_3,100_0,708,0,100_0_ASC_shp,34,50448,Estação Sacavém,38.7956945,-9.100193
100_0_3,100_0,708,0,100_0_ASC_shp,35,50449,Sacavém (Urb. Real Forte),38.7941695,-9.103694
100_0_3,100_0,708,0,100_0_ASC_shp,36,607,Av. Almirante Reis / R. Angola,38.7252525,-9.134954
100_0_3,100_0,708,0,100_0_ASC_shp,37,609,Av. Almirante Reis / R. Marques Silva,38.7290616,-9.134567
100_0_3,100_0,708,0,100_0_ASC_shp,38,505,Pç. Chile / Av. Almirante Reis,38.7325675,-9.134246
100_0_3,100_0,708,0,100_0_ASC_shp,39,413,Alameda D. A. Henriques,38.7369445,-9.133716
100_0_3,100_0,708,0,100_0_ASC_shp,40,411,Pç. João Rio,38.7401935,-9.133429
100_1_4,100_1,708,1,100_1_DESC_shp,0,50449,Sacavém (Urb. Real Forte),38.7941695,-9.103694
100_1_4,100_1,708,1,100_1_DESC_shp,1,50127,Rot. Oliveiras,38.7806036,-9.096485
100_1_4,100_1,708,1,100_1_DESC_shp,2,50125,Jardim Jacarandás,38.7787075,-9.0954112
100_1_4,100_1,708,1,100_1_DESC_shp,3,50123,Cais Olival,38.776037,-9.0951519
100_1_4,100_1,708,1,100_1_DESC_shp,4,7824,Av. Boa Esperança,38.7743951,-9.0974991
100_1_4,100_1,708,1,100_1_DESC_shp,5,7822,Av. D. João II,38.7713255,-9.097763
100_1_4,100_1,708,1,100_1_DESC_shp,6,7825,Estação Oriente,38.7671733,-9.0990935
100_1_4,100_1,708,1,100_1_DESC_shp,7,7712,Av. Berlim / Tv. Courelas,38.7678105,-9.106065
100_1_4,100_1,708,1,100_1_DESC_shp,8,50330,Av. Berlim (Pç. Baden Powell),38.7681125,-9.109062
100_1_4,100_1,708,1,100_1_DESC_shp,9,7719,Av. Berlim,38.7669445,-9.110168
100_1_4,100_1,708,1,100_1_DESC_shp,10,7718,Esc. Olivais,38.7648965,-9.109776
100_1_4,100_1,708,1,100_1_DESC_shp,11,50450,Pç. República,38.796552,-9.104074
100_1_4,100_1,708,1,100_1_DESC_shp,12,7725,R. Cidade Benguela (Mercado),38.7654785,-9.11089
100_1_4,100_1,708,1,100_1_DESC_shp,13,7723,R. Cidade Benguela,38.7657825,-9.113347
100_1_4,100_1,708,1,100_1_DESC_shp,14,8438,R. Cidade Novo Redondo,38.7650075,-9.116213
100_1_4,100_1,708,1,100_1_DESC_shp,15,8433,Olivais (Centro Cívico),38.7621665,-9.11661
100_1_4,100_1,708,1,100_1_DESC_shp,16,8435,C. Comercial Olivais,38.7615075,-9.113984
100_1_4,100_1,708,1,100_1_DESC_shp,17,8413,R. Cidade Bissau (Metro),38.7604745,-9.111995
100_1_4,100_1,708,1,100_1_DESC_shp,18,8406,Cabo Ruivo - Av. Mar. Gomes Costa,38.7590356,-9.113402
100_1_4,100_1,708,1,100_1_DESC_shp,19,8408,Av. Mar. Gomes Costa (Poço Cortes),38.7601535,-9.1171
100_1_4,100_1,708,1,100_1_DESC_shp,20,7504,Av. Mar. Gomes Costa (Qta. Teresinhas),38.7616235,-9.121815
100_1_4,100_1,708,1,100_1_DESC_shp,21,7514,Av. Alm. Gago Coutinho (Rot. Relógio),38.7621065,-9.129797
100_1_4,100_1,708,1,100_1_DESC_shp,22,50451,Estação Sacavém,38.7960855,-9.099622
100_1_4,100_1,708,1,100_1_DESC_shp,23,7512,Qta. Narigão,38.7582505,-9.130183
100_1_4,100_1,708,1,100_1_DESC_shp,24,7413,Av. Gago Coutinho / Av. D. Rodrigo Cunha,38.7537975,-9.130615
100_1_4,100_1,708,1,100_1_DESC_shp,25,7304,Qta. Sto. António,38.7518976,-9.130814
100_1_4,100_1,708,1,100_1_DESC_shp,26,7308,Av. Alm. Gago Coutinho / Av. EUA,38.7479976,-9.13119
100_1_4,100_1,708,1,100_1_DESC_shp,27,310,Av. Alm. Gago Coutinho,38.7451975,-9.131547
100_1_4,100_1,708,1,100_1_DESC_shp,28,308,Areeiro - Av. Alm. Gago Coutinho,38.7432895,-9.132829
100_1_4,100_1,708,1,100_1_DESC_shp,29,404,Pç. João Rio,38.7405115,-9.133633
100_1_4,100_1,708,1,100_1_DESC_shp,30,410,Alameda D. A. Henriques,38.7371805,-9.133988
100_1_4,100_1,708,1,100_1_DESC_shp,31,507,Pç. Chile,38.7344285,-9.135077
