stop_id,stop_lat,stop_lon,stop_name,imd_id
082322,38.940308,-9.335033,Mafra (Terminal) P5,8064
080360,38.942435,-9.175550,R Das Ribeiradas 14,8617
080271,38.927633,-9.237381,Venda Do Pinheiro (Eco Parque) P6,11048
082003,38.927408,-9.236954,Venda Do Pinheiro (Eco Parque) P3,11140
082001,38.927509,-9.237579,Venda Do Pinheiro (Eco Parque) P1,11142
082005,38.927585,-9.237070,Venda Do Pinheiro (Eco Parque) P5,11143
081143,38.982806,-9.280818,R Movimento das Forças Armadas 25,11717
082009,38.967104,-9.405433,Ericeira (Terminal Rodoviário) P5,11736
082008,38.967150,-9.405481,Ericeira (Terminal Rodoviário) P4,11737
082007,38.967196,-9.405529,Ericeira (Terminal Rodoviário) P3,11738
082006,38.967243,-9.405576,Ericeira (Terminal Rodoviário) P2,11739
080007,38.967289,-9.405624,Ericeira (Terminal Rodoviário),11740
080207,38.940299,-9.335413,Mafra (Terminal) P1,11741
082320,38.940301,-9.335318,Mafra (Terminal) P2,11742
082321,38.940303,-9.335223,Mafra (Terminal) P3,11743
080208,38.940306,-9.335128,Mafra (Terminal) P4,11744
080930,38.937370,-9.252189,R da Lagoa 11,13514
080929,38.937329,-9.252041,R da Lagoa 11,13515
080932,38.934805,-9.253724,R 25 de Abril 1,13516
080931,38.935080,-9.253419,R 25 de Abril 1,13517
080590,38.966686,-9.306752,R Eng Segismundo Saldanha,15126
080051,38.870780,-9.257647,R José Salvador (X) R Moínho,16233
080049,38.932720,-9.418855,Estr Municipal 546 2,16234
080048,38.931902,-9.408290,Estr Municipal 346 47,16235
080047,38.932046,-9.408280,Estr Municipal 546 34,16236
080046,38.932898,-9.400544,Estr Municipal 346 46,16237
080045,38.932988,-9.400526,Estr Municipal 546 46,16238
080044,38.934280,-9.399874,Estr Municipal 546 28,16239
080043,38.934307,-9.400042,Estr Municipal 546 28,16240
080042,38.935166,-9.397229,Estr Municipal 546 (X) R da Cruz 1,16241
080041,38.935264,-9.397227,Estr Municipal (X) R da Cruz 2,16242
080039,38.904904,-9.379969,Av 15 de Agosto 170,16243
080037,38.921496,-9.386092,Av 10 Agosto 143,16244
080035,38.923277,-9.388312,En 247 (P Combustível) (Pobral),16245
080033,38.924834,-9.389827,En 247 47 (Pobral),16246
080031,38.927445,-9.391642,EN 247 (X) R das Tomádias,16247
080030,38.931956,-9.395595,En 247 3 (Baleia),16248
080029,38.931911,-9.395733,En 247 3 (Baleia),16249
080028,38.934291,-9.396764,En 247 44 (Baleia),16250
080027,38.934799,-9.397141,En 247 44 (Baleia),16251
080026,38.939458,-9.395625,EN 247 (X) R do Caminho Velho,16252
080025,38.939013,-9.396174,EN 247 (X) R do Caminho Velho,16253
080023,38.941434,-9.396366,En 247 (Igreja) (Carvoeira),16254
080024,38.941357,-9.396153,En 247 (Igreja) (Carvoeira),16255
080022,38.943396,-9.406244,En 247 (X) R Amoreiras,16256
080021,38.943175,-9.406270,En 247 (X) R Amoreiras,16257
080020,38.944278,-9.411962,En 247 6 (X) Foz Lizandro,16258
080019,38.944284,-9.412195,En 247 6 (X) Foz Lizandro,16259
080018,38.952136,-9.413535,EN 247 (X) R 1 Maio,16260
080017,38.952027,-9.413663,EN 247 (X) R 1 Maio,16261
080016,38.955915,-9.414266,EN 247 (X) Praia Sul,16262
080015,38.955565,-9.414296,EN 247 (X) Praia Sul,16263
080014,38.960827,-9.414067,EN 247 (X) R Eduardo Henr Pereira,16264
080013,38.960748,-9.414232,EN 247 (X) R Eduardo Henr Pereira,16265
080010,38.968401,-9.410890,R Rego (Escola),16268
080009,38.968611,-9.410681,R Rego (Escola),16269
080006,38.896100,-9.346706,Estr de Almorquim (Ponte),16271
080005,38.896246,-9.346803,Estr da Ponte,16272
080004,38.901706,-9.358491,Estr Municipal 606 (Cruz Cheleiros),16273
080003,38.901623,-9.358378,Estr Municipal 606 (Cruz Cheleiros),16274
080002,38.903573,-9.360084,Carvalhal (Largo),16275
082312,38.963120,-9.413506,En 247 2 (R do Parque),21326
082311,38.963202,-9.413704,En 247 21 (R do Parque),21327
082310,38.942558,-9.288670,Rua do Casal Novo,21328
082309,38.942687,-9.289206,Rua do Casal Novo,21329
082308,38.927818,-9.233269,R Quinta dos Estrangeiros (Biblioteca),21330
082307,38.937550,-9.330526,Rua José Elias Garcia 62,21331
082306,38.952931,-9.335540,R da Escola (X) En 116,21332
082305,38.970020,-9.419721,Largo S Sebastião 10,21333
082304,38.968731,-9.399293,Est Outerinho 17,21334
082302,39.026200,-9.365889,En 9 (Resid S Domingos),21335
082301,38.949995,-9.408361,Em 550 (X) R da Arroteia,21336
082300,38.950053,-9.408438,Em 550 (X) R da Arroteia,21337
082206,38.912624,-9.187167,Avenida Principal (Casais da Serra),21338
082205,38.944612,-9.187404,Rua Teodorico Alexandre,21339
082204,38.928906,-9.231601,R P José Cruz Filipe (Colégio Sto André),21340
082203,38.926083,-9.235179,Venda Do Pinheiro (Escola),21341
080406,38.933164,-9.258657,R Do Liceu 1 (Escola) (Malveira),21342
082201,38.928540,-9.244440,Malveira (Centro Saúde),21343
082200,38.928631,-9.244367,Malveira (Centro Saúde),21344
081196,38.992400,-9.207721,R Principal 2,21345
081195,38.992377,-9.207626,R Principal 2,21346
081192,39.041755,-9.394019,R Casal Parol (X) R Lagoas,21347
081191,39.041916,-9.394306,R Casal Parol (X) R Lagoas,21348
081189,39.037360,-9.352990,R Principal 55,21349
081187,39.037296,-9.352897,R Principal 55,21350
081186,39.035055,-9.362785,R Principal 30,21351
081185,39.035071,-9.362609,R Principal 30,21352
081179,39.060576,-9.399095,R das Forcadas,21353
081178,38.915680,-9.218090,En 116 (X) Casais Forno,21354
081177,38.915737,-9.218063,En 116 (X) Casais Forno,21355
081176,38.918217,-9.185422,Av Principal 69,21356
081175,38.918049,-9.185500,Av Principal 69,21357
081174,38.920960,-9.183103,Tv dos Moinhos 1,21358
081173,38.920895,-9.183290,Tv dos Moinhos 1,21359
081172,38.923680,-9.180497,R da Liberdade 64,21360
081171,38.923615,-9.180406,R da Liberdade 64,21361
081170,38.936849,-9.165996,R da Espinheira 2,21362
081169,38.936874,-9.165874,R da Espinheira 2,21363
081168,38.935601,-9.169531,R Catarral 6,21364
081167,38.935449,-9.169337,R Catarral 6,21365
081166,38.926611,-9.175633,R da Liberdade 10,21366
081165,38.926750,-9.176284,R da Liberdade 10,21367
081164,38.926322,-9.179720,R da Liberdade 36,21368
081163,38.926421,-9.179452,R da Liberdade 36,21369
081162,38.928379,-9.182201,R da Portela 18,21370
081161,38.928421,-9.182145,R da Portela 18,21371
081160,38.930515,-9.186049,R das Eiras 16,21372
081159,38.930641,-9.186044,R das Eiras 16,21373
081158,38.948336,-9.240536,Estr do Jerumelo 1,21374
081157,38.948386,-9.240337,Estr do Jerumelo 1,21375
081156,38.956080,-9.240077,Av 4 de Fevereiro 70,21376
081155,38.956156,-9.239996,Av 4 de Fevereiro 70,21377
081154,38.955991,-9.244330,Av 4 de Fevereiro 98,21378
081153,38.956062,-9.244328,Av 4 de Fevereiro 98,21379
081152,38.956584,-9.250202,R Casal da Boa Vista 27,21380
081151,38.956617,-9.250127,R Casal da Boa Vista 27,21381
081150,38.957331,-9.250969,R Principal 4,21382
081149,38.957502,-9.251870,R Principal 4,21383
081148,38.957425,-9.255895,R Principal 29,21384
081147,38.957575,-9.256293,R Principal 29,21385
081145,38.939477,-9.346369,Av Augusto Pereira Machado 18,21386
081142,38.962723,-9.260838,En 8,21388
081141,38.962990,-9.260860,En 8,21389
081140,38.957873,-9.258833,En 8 7,21390
081139,38.958117,-9.258742,En 8 7,21391
081138,38.947521,-9.249633,Rua da Estrada Velha,21392
081137,38.948057,-9.249953,Rua da Estrada Velha,21393
081134,38.924322,-9.209561,R Beatriz Costa,21394
081133,38.924495,-9.209248,R Beatriz Costa,21395
081131,38.920853,-9.211901,R Inspector Ricardo Rosa E Alberty 2,21397
081128,38.917052,-9.225374,En 116 (Armazéns),21400
081127,38.917121,-9.225527,En 116 (Armazéns),21401
081126,38.922909,-9.197162,Av de Portugal 8,21402
081125,38.922823,-9.197144,Av de Portugal 8,21403
081124,38.919893,-9.190169,R dos Combatentes 12,21404
081123,38.919799,-9.190152,R dos Combatentes 12,21405
081122,38.918239,-9.187169,Av dos Combatentes 19,21406
081121,38.918298,-9.187095,Av dos Combatentes 19,21407
081120,38.892036,-9.295194,R Principal 24,21408
081119,38.892144,-9.295117,R Principal 24,21409
081115,38.883383,-9.334230,N9,21410
081114,38.887697,-9.328986,Estr Velha 36,21411
081113,38.887532,-9.328972,Estr Velha 36,21412
081112,38.931849,-9.202640,Av de Portugal 33A,21413
081111,38.931844,-9.202516,Av de Portugal 33A,21414
081109,38.917424,-9.229362,Venda Pinheiro (X) Lisboa,21415
081105,38.917052,-9.229150,Av 9 Julho 47,21417
081104,38.902699,-9.242108,Av 9 Julho 2A (X) Bucelas,21418
081103,38.902806,-9.242070,R Principal 3,21419
081101,38.892800,-9.228530,R do Pinhal 8,21420
081100,38.908337,-9.196969,Vale São Gião(Norte),21421
081099,38.908250,-9.197052,Vale São Gião (Norte),21422
081098,38.905015,-9.190825,R 16 Maio 21 (Cabeço Montachique),21423
081097,38.905184,-9.190798,R 16 Maio 21 (Cabeço Montachique),21424
081095,38.911500,-9.182473,R República 118 (Chamboeira),21425
081093,38.920400,-9.230287,Av 9 Julho 43,21426
081092,38.914000,-9.208107,En 116 (Qta Laranjeiras),21427
081091,38.913902,-9.207653,En 116 (Qta Laranjeiras),21428
081090,38.913519,-9.201715,En 116 (Centro Inspecções),21429
081089,38.913523,-9.201482,En 116 (Centro Inspecções),21430
081087,38.909796,-9.194879,Vale S Gião (Rotunda),21431
081086,38.912429,-9.186942,En 116 (X) Casais Serra,21432
081085,38.912273,-9.187080,En 116 (X) Casais Serra,21433
081083,38.911899,-9.181736,R República 118 (Chamboeira),21434
081079,38.893400,-9.229060,R do Pinhal 8,21435
081077,38.880600,-9.236390,Estr Principal,21436
081076,38.890867,-9.237351,R Principal 55A,21437
081075,38.890835,-9.237345,R Principal 55A,21438
081074,38.901959,-9.241817,R Principal 3,21439
081073,38.901893,-9.241903,R Principal 3,21440
081072,38.898744,-9.245617,Estr de Santo Estevão,21441
081071,38.898583,-9.245680,Estr de Santo Estevão,21442
081070,38.896057,-9.253256,R dos Moinhos 1,21443
081069,38.896151,-9.253294,R dos Moinhos 1,21444
081063,38.942668,-9.184849,R Principal 10,21445
081061,38.945524,-9.183273,R dos Namorados 12,21446
081059,38.945070,-9.184028,R Teodorico Alexandre 37,21447
081058,38.889296,-9.327132,Av Silvério Galrão Nogueira 52,21448
081057,38.889515,-9.326626,Av Silvério Galrão Nogueira 52,21449
081056,38.897157,-9.326704,En 9 (X) Cabeço do Cartaxo,21450
081055,38.898085,-9.326133,En 9 (X) Cabeço do Cartaxo,21451
081052,38.898359,-9.290289,Mafra,21452
081051,38.898570,-9.289822,Mafra,21453
081050,38.899646,-9.290932,Estr Principal 31,21454
081049,38.899828,-9.290959,Estr Principal 31,21455
081048,38.899690,-9.294232,R da Azenha Nova 4,21456
081047,38.899788,-9.294178,R da Azenha Nova 4,21457
081046,38.903351,-9.297317,R do Moinho Velho,21458
081045,38.903209,-9.297058,R do Moinho Velho,21459
081044,38.916241,-9.295800,R da Estação 16,21460
081043,38.916272,-9.295988,R da Estação 16,21461
081042,38.921800,-9.295847,R da Estação de Mafra 71A,21462
081041,38.921915,-9.295838,R da Estação de Mafra 71A,21463
081039,38.935145,-9.310913,En 9 39 (Carapinheira),21464
081038,38.906571,-9.324419,Em 1196 111 (Mata Grande),21465
081037,38.906234,-9.324270,Em 1196 111 (Mata Grande),21466
081036,38.913599,-9.338699,Arroeiras (X),21467
081035,38.913648,-9.338600,Arroeiras (X),21468
081034,38.917763,-9.217745,R Inspector Ricardo Rosa E Alberty 44,21469
081033,38.917850,-9.218125,R Inspector Ricardo Rosa E Alberty 44,21470
081004,38.929933,-9.202950,Póvoa da Galega (Chafariz),21471
081031,38.930696,-9.202516,Av de Portugal 17,21472
081030,38.927400,-9.199887,Av de Portugal 22,21473
081029,38.927462,-9.199802,Av de Portugal 22,21474
