id,name,lat,lon
TRAIN_001,Praias do Sado,38.513945,-8.842097
TRAIN_002,Setúbal - Praça Quebedo,38.524850,-8.886579
TRAIN_003,Setúbal,38.530688,-8.885298
TRAIN_004,Palmela,38.571094,-8.872695
TRAIN_005,Coina,38.584995,-9.051202
TRAIN_006,Penalva,38.590223,-8.995550
TRAIN_007,Venda do Alcaide,38.606482,-8.888855
TRAIN_008,Fogueteiro,38.610217,-9.101295
TRAIN_009,Foros de Amora,38.620925,-9.128522
TRAIN_010,Pinhal Novo,38.630108,-8.912776
TRAIN_011,Poceirão,38.634495,-8.743383
TRAIN_012,Fernando - Pó,38.636480,-8.691080
TRAIN_013,Corroios,38.636594,-9.151559
TRAIN_014,Penteado,38.638296,-8.956763
TRAIN_015,Moita,38.644774,-8.995962
TRAIN_016,Alhos Vedros,38.651942,-9.026952
TRAIN_017,Barreiro,38.652590,-9.079407
TRAIN_018,Baixa da Banheira,38.659346,-9.043600
TRAIN_019,Pegões,38.662247,-8.619210
TRAIN_020,Barreiro-A,38.659652,-9.071699
TRAIN_021,Lavradio,38.661824,-9.058303
TRAIN_022,São João das Craveiras,38.667923,-8.585784
TRAIN_023,Pragal,38.666225,-9.179246
TRAIN_024,Santo Amaro,38.686900,-9.311946
TRAIN_025,Carcavelos,38.687813,-9.337409
TRAIN_026,Oeiras,38.688569,-9.319063
TRAIN_027,Parede,38.689777,-9.356478
TRAIN_028,Paço de Arcos,38.691833,-9.302050
TRAIN_029,Belém,38.696195,-9.197392
TRAIN_030,São Pedro do Estoril,38.695368,-9.371595
TRAIN_031,Algés,38.698285,-9.229009
TRAIN_032,Caxias,38.698770,-9.274422
TRAIN_033,Cruz Quebrada,38.699797,-9.252115
TRAIN_034,Alcântara-Mar,38.702356,-9.174033
TRAIN_035,Cascais,38.700861,-9.417923
TRAIN_036,São João do Estoril,38.701251,-9.385950
TRAIN_037,Estoril,38.703250,-9.398707
TRAIN_038,Cais do Sodré,38.705991,-9.145147
TRAIN_039,Monte Estoril,38.703553,-9.406545
TRAIN_040,Santos,38.706266,-9.154441
TRAIN_041,Alcântara-Terra,38.707487,-9.173338
TRAIN_042,Santa Apolónia,38.713818,-9.123032
TRAIN_043,Rossio,38.715154,-9.142841
TRAIN_044,Campolide,38.732357,-9.168420
TRAIN_045,Marvila,38.739010,-9.108829
TRAIN_046,Chelas,38.739104,-9.118985
TRAIN_047,Sete Rios,38.740248,-9.166766
TRAIN_048,Entrecampos,38.744485,-9.148742
TRAIN_049,Benfica,38.744426,-9.199923
TRAIN_050,Areeiro,38.745681,-9.135083
TRAIN_051,Braço de Prata,38.746093,-9.103105
TRAIN_052,Santa Cruz - Damaia,38.746914,-9.213086
TRAIN_053,Reboleira,38.750818,-9.222728
TRAIN_054,Tercena - Barcarena (Barcarena - Massamá),38.751573,-9.284372
TRAIN_055,Queluz - Massamá (Queluz - Monte Abraão),38.755042,-9.265769
TRAIN_056,Queluz - Belas (Queluz),38.758786,-9.256590
TRAIN_057,Amadora,38.759920,-9.235962
TRAIN_058,Oriente,38.767939,-9.099037
TRAIN_059,Cacém,38.766397,-9.298418
TRAIN_060,Moscavide,38.778052,-9.099589
TRAIN_061,Rio de Mouro,38.784650,-9.322256
TRAIN_062,Mira Sintra-Meleças,38.789660,-9.312456
TRAIN_063,Mercês,38.793205,-9.330795
TRAIN_064,Sacavém,38.795366,-9.099601
TRAIN_065,Algueirão - Mem Martins,38.797603,-9.341436
TRAIN_066,Sintra,38.799457,-9.385184
TRAIN_067,Portela de Sintra,38.802232,-9.376669
TRAIN_068,Bobadela,38.807258,-9.094374
TRAIN_069,Telhal,38.809208,-9.302575
TRAIN_070,Sabugo,38.830844,-9.299903
TRAIN_071,Santa Iria,38.840565,-9.080525
TRAIN_072,Póvoa,38.859169,-9.064475
TRAIN_073,Pedra Furada,38.877408,-9.293877
TRAIN_074,Alverca,38.890519,-9.033428
TRAIN_075,Mafra,38.897410,-9.291730
TRAIN_076,Alhandra,38.924120,-9.011294
TRAIN_077,Malveira,38.928760,-9.257734
TRAIN_078,Vila Franca de Xira,38.955753,-8.986016
TRAIN_079,Castanheira do Ribatejo,38.989069,-8.965328
TRAIN_080,Carregado,39.005572,-8.953785
