id,name,lat,lon,stops
TRAIN_001,Praias do Sado,38.513945,-8.842097,160701|160702|160703|160704
TRAIN_002,Setúbal - Praça Quebedo,38.524850,-8.886579,160061|160062|160063|160064|160065|160066|160103|160123|160127|160129|160131|160133|160137|160139|160141|160163|160213|160223|160349|160409|160411|160469|160470|160511|160745|160746|160815|160883|160961
TRAIN_003,Setúbal,38.530688,-8.885298,160029|160031|160065|160066|160067|160068|160091|160092|160093|160095|160111|160117|160118|160119|160141|160201|160213|160411|160511|160513|162001|162002|162003|162004|162005|162006|162007|162008|162011
TRAIN_004,Palmela,38.571094,-8.872695,130009|130661|130662
TRAIN_005,Coina,38.584995,-9.051202,140027|140028|140857
TRAIN_006,Penalva,38.590223,-8.995550,130093|130814
TRAIN_007,Venda do Alcaide,38.606482,-8.888855,
TRAIN_008,Fogueteiro,38.610217,-9.101295,140039|140041|140042|140119|140120|140139|140537|140555|140585|140586|140587|140588|140589|149003|149992|149993
TRAIN_009,Foros de Amora,38.620925,-9.128522,140103|140131|140165|140166|140167|140168|140209|140210|140211|140212|140213|140307|140347|140348|149989|149990|149991
TRAIN_010,Pinhal Novo,38.630108,-8.912776,130227|130228|130229|130230|130347|130355|130357|130373|130378|130379|130383|130385|130451|130557|130558
TRAIN_011,Poceirão,38.634495,-8.743383,130157|130158|130159|130160|130161|130162|130257|130258|130275|130276|130277|130278
TRAIN_012,Fernando - Pó,38.636480,-8.691080,130285|130286
TRAIN_013,Corroios,38.636594,-9.151559,140089|140091|140137|140349|140350|140351|140352|140389|140637|140638|140689|140690|140691|140693|140694|140705|140771|140772|140773|140774|149996|149997|149998|149999
TRAIN_014,Penteado,38.638296,-8.956763,
TRAIN_015,Moita,38.644774,-8.995962,090051|090052|090053|090054|090097|090207|090271|090272|090307|090308
TRAIN_016,Alhos Vedros,38.651942,-9.026952,090013|090014|090015|090045|090047|090185|090203|090211|090213|090215|090264|090265|090266|090267|090268|090312|090314
TRAIN_017,Barreiro,38.652590,-9.079407,040013|040020|040022|040024|040026|040027
TRAIN_018,Baixa da Banheira,38.659346,-9.043600,090193|090194|090195|090199|090201|090202|090209
TRAIN_019,Pegões,38.662247,-8.619210,
TRAIN_020,Barreiro-A,38.659652,-9.071699,040081|040123|040137|040139|040140|040155|040179
TRAIN_021,Lavradio,38.661824,-9.058303,040001|040002|040017|040018|040103
TRAIN_022,São João das Craveiras,38.667923,-8.585784,100219|100220|100221|100222
TRAIN_023,Pragal,38.666225,-9.179246,020073|020267|020268|020273|020275|020276|020293|020295|020769|021001|021002|021003|027997|027998|027999
TRAIN_024,Santo Amaro,38.686900,-9.311946,120729|120788|120813|120815|120835|120837|120839|120840|120873|121235|121270|121272|121291|121297
TRAIN_025,Carcavelos,38.687813,-9.337409,050009|050149|050151|050152|050153|050418
TRAIN_026,Oeiras,38.688569,-9.319063,120729|120787|120788|120803|120804|120805|120811|120813|120815|120817|120819|120829|120830|120877|120879|121187|121188|121207|121235|121270|121272|121291|121297|121322|121323
TRAIN_027,Parede,38.689777,-9.356478,050039|050040|050041|050043|050046|050047|050049|050051
TRAIN_028,Paço de Arcos,38.691833,-9.302050,120743|120773|120841|120842|120843|120845|120847|120871|120881|120882|120883|120884|121193|121269|121302|121303|121304
TRAIN_029,Belém,38.696195,-9.197392,060101|060107|060383|060384
TRAIN_030,São Pedro do Estoril,38.695368,-9.371595,
TRAIN_031,Algés,38.698285,-9.229009,120079|120081|120083|120195|120197|120199|120201|120227|120229|120261|120263|120265|120266|120325|120327|120328|120339|120340|120341|120401|121061|121095|121308|121309
TRAIN_032,Caxias,38.698770,-9.274422,120587|120589|120659|120661|120662|120683|120684|120901|120903
TRAIN_033,Cruz Quebrada,38.699797,-9.252115,120127|120128|120129|120130|120131|120137|120139|120255|120258|120331|121159|121161|121162|121274
TRAIN_034,Alcântara-Mar,38.702356,-9.174033,060379|060380|062002|062003
TRAIN_035,Cascais,38.700861,-9.417923,050205|050207|050210|050247|050249|050319|050419|050424
TRAIN_036,São João do Estoril,38.701251,-9.385950,
TRAIN_037,Estoril,38.703250,-9.398707,050359|050361|050409
TRAIN_038,Cais do Sodré,38.705991,-9.145147,060417|060418|060419|060451|060452|062000
TRAIN_039,Monte Estoril,38.703553,-9.406545,050377|050379|050381|050399|050401|050403|050413
TRAIN_040,Santos,38.706266,-9.154441,060415|060417|060418|060421|062001
TRAIN_041,Alcântara-Terra,38.707487,-9.173338,060019|060021|060379|060380|060397|060409|062002
TRAIN_042,Santa Apolónia,38.713818,-9.123032,
TRAIN_043,Rossio,38.715154,-9.142841,
TRAIN_044,Campolide,38.732357,-9.168420,060023|060399|060401|060403
