stop_id,stop_name,stop_lat,stop_lon,lines
010001,R Carlos M. Francisco 229 (Escola Monte Novo),38.754244,-8.959557,4001|4002
010002,R Carlos M. Francisco 229 (Escola Monte Novo),38.754572,-8.959615,4001|4002
010005,ALCOCHETE (R CIPRIÃO FIGUEIREDO),38.754175,-8.961806,4001|4002
010007,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,38.753196,-8.963687,4001|4002
010008,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,38.753271,-8.963504,4001|4002
010009,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,38.750706,-8.962749,4001|4002|4501|4502|4510|4511|4512|4513|4600|4702|4703|4704
010010,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,38.751002,-8.962783,4001|4002|4501|4502|4510|4511|4512|4513|4600|4702|4703|4704
010011,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),38.748855,-8.962159,4001|4002
010012,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),38.748866,-8.961929,4001|4002
010013,ALCOCHETE (R COOPERAÇÃO 27),38.748733,-8.966155,4001
010014,ALCOCHETE (R COOPERAÇÃO 27),38.748700,-8.965973,4001
010015,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,38.748758,-8.967106,4001
010016,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,38.749364,-8.966956,4001
010017,ALCOCHETE (AV D MANUEL I 25),38.750122,-8.968040,4001
010018,ALCOCHETE (AV D MANUEL I 25),38.749981,-8.967987,4001
010019,ALCOCH (AV INF D JOÃO) PRAIA MOINHOS,38.748365,-8.970791,4001
010021,PASSEIO CARAVELAS (FÓRUM ALCOCHETE),38.746655,-8.971506,4001
010023,ALCOCHETE (R 25 DE ABRIL 8),38.747993,-8.969371,4001
010025,ALCOCHETE (R Mª TERESA NORONHA),38.752660,-8.961294,4001|4002
010027,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),38.753259,-8.958130,4001
010028,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),38.753307,-8.958037,4001
010029,ALCOCHETE (R LÁPARO) SUPERMERCADO,38.751255,-8.956741,4001
010030,ALCOCHETE (R LÁPARO) SUPERMERCADO,38.751242,-8.956625,4001
010031,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,38.749842,-8.953465,4001
010032,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,38.749911,-8.953472,4001
010033,ALCOCHETE (R LÁPARO X R BRACIEIRA),38.748189,-8.951511,4001
010034,ALCOCHETE (R LÁPARO X R BRACIEIRA),38.748278,-8.951503,4001
010035,ALCOCHETE (LAGOA LÁPARO),38.746343,-8.948745,4001
010036,ALCOCHETE (LAGOA LÁPARO),38.745936,-8.948375,4001
010037,PQ INDUSTRIAL BATEL (R ALFAZEMAS),38.745522,-8.946050,4001
010038,PQ INDUSTRIAL BATEL (R ALFAZEMAS),38.745434,-8.945954,4001
010039,R DOS DAMASCOS,38.748707,-8.945941,4001
010040,R DOS DAMASCOS,38.748758,-8.945841,4001
010041,QUEBRADAS (SUPERMERCADO),38.751652,-8.944580,4001
010043,ALCOCHETE (AV BARRIS) CENTRO SAÚDE,38.748435,-8.964307,4002
010045,AV DOS BARRIS - PQ DESP DO VALBOM (ROT),38.745904,-8.966790,4002
010047,R VALE FIGUEIRA (CASAS NOVAS),38.740462,-8.960715,4002
010048,R VALE FIGUEIRA (CASAS NOVAS),38.740490,-8.960615,4002
010049,ESTR LAGOA DA CHEIA AGROPECUÁRIA,38.735205,-8.956538,4002
010050,ESTR LAGOA DA CHEIA AGROPECUÁRIA,38.735227,-8.956456,4002
010051,ESTR LAGOA DA CHEIA 610,38.732272,-8.954484,4002
010052,ESTR LAGOA DA CHEIA 610,38.732396,-8.954452,4002
010053,ESTR DOS MALMEQUERES 316,38.731476,-8.956327,4002
010054,ESTR DOS MALMEQUERES 316,38.731377,-8.956669,4002
010055,R FUTEBOL CLUBE S FRANCISCO (CERCAL),38.732838,-8.960893,4002|4704
010056,R FUTEBOL CLUBE S FRANCISCO (CERCAL),38.732718,-8.960852,4002|4704
010057,R FUTEBOL CLUBE S FRANC X R ANT ALEIXO 1,38.732284,-8.970956,4002|4704
010058,R FUTEBOL CLUBE S FRANC X R ANT ALEIXO 1,38.732255,-8.970549,4002|4704
010059,S FRANCISCO (EN 119 31),38.732385,-8.972425,4002|4501|4510|4512|4513|4706
010061,S FRANCISCO (PRAÇA DAS AVES DO TEJO),38.731198,-8.973869,4002
010062,S FRANCISCO (PRAÇA DAS AVES DO TEJO),38.731293,-8.973830,4002
010063,AV CORVO MARINHO URB VILLAS DO DUQUE,38.728616,-8.973287,4002|4510|4512|4513|4706
010064,AV CORVO MARINHO URB VILLAS DO DUQUE,38.728807,-8.973181,4002|4510|4512|4513|4706
010066,S FRANCISCO (EN 119 114),38.731723,-8.972361,4002|4501|4510|4512|4513|4706
010067,R FUTEBOL CLUBE S FRANCISCO (VILA AZUL),38.731588,-8.965834,4002|4704
010068,R FUTEBOL CLUBE S FRANCISCO (VILA AZUL),38.731771,-8.966098,4002|4704
010069,AV DOS BARRIS (PQ DESP DO VALBOM),38.745981,-8.966255,4002
010071,AV DOS BARRIS (ESCOLA SECUNDÁRIA),38.747890,-8.964495,4002
010073,ALCOCHETE (AV REVOLUÇÃO 43),38.752857,-8.960447,4002
010075,ESTR DO BREJO COMPRIDO 4307,38.688903,-8.914879,4205|4503
010077,CM1123 (QTA DA FLOR),38.695468,-8.916588,4205|4503
010079,ALCOCHETE (AV REVOLUÇÃO 86),38.753276,-8.960039,4501|4502|4510|4511|4512|4513|4600|4702|4703|4704
010080,ALCOCHETE (AV REVOLUÇÃO 86),38.753388,-8.959593,4501|4502|4510|4511|4512|4513|4600|4702|4703|4704
010081,ALCOCHETE (R SALINEIRO 99),38.749240,-8.965488,4501|4510|4511|4512|4513|4600|4702|4703|4704
010082,ALCOCHETE (R SALINEIRO 99),38.749071,-8.965811,4501|4510|4511|4512|4513|4600|4702|4703|4704
010083,VALBOM (R CERRADINHO PRAIA),38.745965,-8.968585,4501|4510|4511|4512|4513|4600|4702|4703|4704
010084,VALBOM (R CERRADINHO PRAIA),38.746213,-8.968874,4501|4510|4511|4512|4513|4600|4702|4703|4704
010085,AV D JOÃO II (SOIMA),38.739188,-8.970525,4501|4510|4512|4513|4704
010086,AV D JOÃO II (SOIMA),38.739504,-8.970340,4501|4510|4512|4513|4704
010087,R DA SOCIEDADE 95,38.731976,-8.975904,4501
010088,R DA SOCIEDADE 95,38.732086,-8.975856,4501
010089,QTA PACHECA (EM 501) X R PACHECA,38.735989,-8.981469,4501|4511|4600|4703
010090,QTA PACHECA (EM 501) X R PACHECA,38.735783,-8.981473,4501|4511|4600|4703
010091,EM 501 (VIAD PT VASCO GAMA) EST SERVIÇO,38.728153,-8.991644,4501|4511|4600|4703
010092,EM 501 (VIAD PT VASCO GAMA) EST SERVIÇO,38.728098,-8.991504,4501|4511|4600|4703
010093,SAMOUCO (EM 501) PORTO VELHO FÁB BOLOS,38.723370,-8.994983,4501|4511|4600|4703
010094,SAMOUCO (EM 501) PORTO VELHO FÁB BOLOS,38.723261,-8.994897,4501|4511|4600|4703
