stop_id,stop_name,stop_lat,stop_lon,routes
010001,R Carlos M. Francisco 229 (Escola Monte Novo),38.754244,-8.959557,4001_0|4002_0
010002,R Carlos M. Francisco 229 (Escola Monte Novo),38.754572,-8.959615,4001_0|4002_0
010005,ALCOCHETE (R CIPRIÃO FIGUEIREDO),38.754175,-8.961806,4001_0|4002_0
010007,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,38.753196,-8.963687,4001_0|4002_0
010008,ALCOCHETE (R LEITE CUNHA) BIBLIOTECA,38.753271,-8.963504,4001_0|4002_0
010009,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,38.750706,-8.962749,4001_0|4002_0|4501_0|4501_1|4502_0|4510_0|4511_0|4512_0|4512_1|4513_0|4600_0|4702_0|4703_0|4704_0
010010,ALCOCHETE (AV RESTAURAÇÃO) EB MANUEL I,38.751002,-8.962783,4001_0|4002_0|4501_0|4501_1|4502_0|4510_0|4511_0|4512_0|4512_1|4513_0|4600_0|4702_0|4703_0|4704_0
010011,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),38.748855,-8.962159,4001_0|4002_0
010012,ALCOCHETE (R JOSÉ GRILO EVANGELISTA),38.748866,-8.961929,4001_0|4002_0
010013,ALCOCHETE (R COOPERAÇÃO 27),38.748733,-8.966155,4001_0
010014,ALCOCHETE (R COOPERAÇÃO 27),38.748700,-8.965973,4001_0
010015,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,38.748758,-8.967106,4001_0
010016,ALCOCHETE (R LIBERDADE) ESCOLA VALBOM,38.749364,-8.966956,4001_0
010017,ALCOCHETE (AV D MANUEL I 25),38.750122,-8.968040,4001_0
010018,ALCOCHETE (AV D MANUEL I 25),38.749981,-8.967987,4001_0
010019,ALCOCH (AV INF D JOÃO) PRAIA MOINHOS,38.748365,-8.970791,4001_0
010021,PASSEIO CARAVELAS (FÓRUM ALCOCHETE),38.746655,-8.971506,4001_0
010023,ALCOCHETE (R 25 DE ABRIL 8),38.747993,-8.969371,4001_0
010025,ALCOCHETE (R Mª TERESA NORONHA),38.752660,-8.961294,4001_0|4002_0
010027,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),38.753259,-8.958130,4001_0
010028,ALCOCHETE (R CARLOS M ROD FRANCISCO 408),38.753307,-8.958037,4001_0
010029,ALCOCHETE (R LÁPARO) SUPERMERCADO,38.751255,-8.956741,4001_0
010030,ALCOCHETE (R LÁPARO) SUPERMERCADO,38.751242,-8.956625,4001_0
010031,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,38.749842,-8.953465,4001_0
010032,ALCOCHETE (R LÁPARO) ESTALEIRO MUN,38.749911,-8.953472,4001_0
010033,ALCOCHETE (R LÁPARO X R BRACIEIRA),38.748189,-8.951511,4001_0
010034,ALCOCHETE (R LÁPARO X R BRACIEIRA),38.748278,-8.951503,4001_0
010035,ALCOCHETE (LAGOA LÁPARO),38.746343,-8.948745,4001_0
010036,ALCOCHETE (LAGOA LÁPARO),38.745936,-8.948375,4001_0
010037,PQ INDUSTRIAL BATEL (R ALFAZEMAS),38.745522,-8.946050,4001_0
010038,PQ INDUSTRIAL BATEL (R ALFAZEMAS),38.745434,-8.945954,4001_0
010039,R DOS DAMASCOS,38.748707,-8.945941,4001_0
