stop_id,stop_name
010099,SAMOUCO (PRAÇA DA REPÚBLICA)
010101,SAMOUCO (R CONSTITUIÇÃO 11)
010103,SAMOUCO (R DR MANUEL DA CRUZ JÚNIOR 15)
020005,Costa da Caparica (Terminal) P2
020007,Costa da Caparica (Terminal) P3
020201,PRAÇA COMÉRCIO 5B (CAIS)
020431,(IC20) SERRADO DPS POSTO ABASTECINENTO
020443,C CAPARICA (AV G H DELGADO) PARQUE
020444,C CAPARICA (AV G H DELGADO) PARQUE
020591,SOBREDA (EN10-1) QTA DA CANEIRA
020592,SOBREDA (EN10-1) QTA DA CANEIRA
020593,SOBREDA (EN10-1) (X) TEXUGO (ROT)
020594,SOBREDA (EN10-1) (X) TEXUGO (ROT)
020769,Pragal Estação Int (Av José Card Pires)
020773,AZINHAGA DA ROSA
020774,AZINHAGA DA ROSA
020775,RUA RUI PINTO AZEVEDO
020777,RUA LUIS ALBUQUERQUE
020781,RUA FLOR BELA ESPANCA
020782,RUA FLORBELA ESPANCA
020783,RUA DOM LUÍS VASCONCELOS
020784,RUA DOM LUÍS VASCONCELOS
020801,CH CAPARICA (ESTR MATAS) TREMOCEIRA
020802,CH CAPARICA (ESTR MATAS) TREMOCEIRA
020803,CH CAPARICA (ESTR MATAS (X) R SOL)
020804,CH CAPARICA (ESTR MATAS (X) R SOL)
020805,CH CAPARICA (ESTR MATAS 29)
020806,CH CAPARICA (ESTR MATAS 29)
020863,VALE FLORES (R V FLORES 93)
020887,R HELENA SÁ E COSTA 20
020897,R JOLY BRAGA SANTOS 4
020917,SOBREDA (ESP CIDADÃO) JARDIM ZAGALOS
020918,SOBREDA (ESP CIDADÃO) JARDIM ZAGALOS
020919,SOBREDA (R LIBERDADE 23) IGREJA
020920,SOBREDA (R LIBERDADE 23) IGREJA
020983,CORROIOS (R CIDADE LUANDA 86)
020992,Costa da Caparica (Terminal) P1
021050,R BORGES CARNEIRO 26
021051,R BORGES CARNEIRO 157
021060,R MAGALHÃES LIMA 1
021061,R MAGALHÃES LIMA 220
021075,Rua Maria Beatriz Mexia 61 +
021076,Rua Quinta do Lagar 97 +
027997,PRAGAL (AV JOSE C PIRES) ESTAÇÃO
029100,COSTA CAPARICA R DR HORÁCIO S LOURO
030067,Av Quinta Grande / Av Laranjeiras
030068,Av Quinta Grande / Av Laranjeiras
030069,Av Quinta Grande / Av dos Moinhos
030070,Av Quinta Grande / Av dos Moinhos
030071,Av Qta Grande 24A
030072,Av Qta Grande 24A
030755,Trav Torres 2
030756,Trav Torres (Escadinhas)
030757,Av Laranjeiras 31
030758,Av Laranjeiras 31
030759,Av Laranjeiras 13
030761,Av Laranjeiras (X) Trav Moínhos
030777,Av Laranjeiras 3
030779,Av Laranjeiras 13
030857,En 250 (X) Casal Cambra
040004,R Capitães de Abril (Bloco Mirandela)
040010,Av Movimento das Forças Armadas 37
040014,Av Movimento das Forças Armadas Fte 2
040015,Av Movimento das Forças Armadas 22A
040028,Av Movimento das Forças Armadas (X) Largo da Santinha
040030,R Capitães de Abril (Fte Bloco Soure)
040076,BARREIRO (VERDERENA)
040200,BARREIRO (AV BOCAGE)
040201,BARREIRO (AV BOCAGE)
040202,BARREIRO (AV D AFONSO HENRIQUES)
040203,BARREIRO (AV D AFONSO HENRIQUES)
050207,R Henrique Seixas 203
060010,Cais Sodré (Terminal Fluvial)
060013,Sete Rios (Estação) P8 _
060061,Pontinha (Metro) _
060129,Colégio Militar (Metro) P16
060322,Gare do Oriente 17-B
060336,Olivais Norte
060343,Hosp. Pulido Valente _
060365,Colégio Militar (Metro) P1
060459,Sete Rios (Estação) P15
070176,Rua Alexandre Herculano 12
070200,Romeira Cima
070245,En 115 67 (Fanqueiro)
070290,R Sebastião e Silva 19 (Q Conventinho)
070346,PRAÇA DOM RUI DA CÂMARA 39B
070450,R 25 Abril 13 (B Zambujeiro)
070483,R Cidade Rio Janeiro (X) Conventinho
070663,Estr Militar (Rotunda) (Sacavém)
070842,R 1 Maio 52 (S Julião Tojal)
070869,R 1 Maio 57 (S Julião Tojal)
070989,Freixial (X) R Alves Redol
071005,En 116 (X) Casais Forno
071203,Lgo S Francisco Xavier
071255,Av D Afonso Albuquerque (Parque)
071256,Av D Afonso Albuquerque (Parque)
071283,Av Infante Santo 50 (Portela Azóia)
071307,Rua 25 Abril x R 4 Outubro
071430,Av Severiano Falcão 11
071450,R Pedro Soares (X) R Alvorada
071497,R Bom Jesus 47
071507,R José Francisco Raposo (Camarate)
071539,R Cidade Beira 12 (Prior Velho)
080008,R Eng Manuel Monterroso Carneiro (V Pinheiro)
080032,Largo do Freixo (Venda do Pinheiro)
080281,R 25 Abril 36 (Malveira)
080307,Estr Avessada (X) Caminho Varandas
080308,Estr Avessada (X) Caminho Varandas
080309,Estr Avessada 4 (Vale Andorinhas)
080310,Estr Avessada 4 (Vale Andorinhas)
080311,Estr Avessada
080312,Estr Avessada
080313,Estr Velha Avessada 3
080314,Estr Velha Avessada 3
080315,R José de Matos Gonçalves 47
080316,R José de Matos Gonçalves 47
080317,Venda do Valador (C Saude)
080524,Em 620-1 (X) Monte Bom
080731,R Brejo 1
080732,R Brejo 1
080736,R Eduardo Henriques Pereira 4
080739,R Porto Revez 3A
080743,En 247 (Ericeira)
080744,En 247 (Ericeira)
081017,En 116 (X) Casais Serra
082003,Venda Do Pinheiro (Eco Parque) P3
082004,Venda Do Pinheiro (Eco Parque) P4
082005,Venda Do Pinheiro (Eco Parque) P5
082006,Ericeira (Terminal Rodoviário) P2
082007,Ericeira (Terminal Rodoviário) P3
082008,Ericeira (Terminal Rodoviário) P4
082009,Ericeira (Terminal Rodoviário) P5
082320,Mafra (Terminal) P2
082321,Mafra (Terminal) P3
082322,Mafra (Terminal) P5
090046,R de Angola (Lg Suzano)
090048,R Henrique Galvão 12
090050,R Sacadura Cabral (X) R Loureiro
090056,MOITA (AV MARGINAL) JARDIM
090058,MOITA (AV MARGINAL) CÂMARA MUNICIPAL
090062,R António Hipólito da Costa 10
090068,R António Hipólito da Costa 13
090070,R Eduardo Pacheco (X) R Cortiça
090072,EB1 de Alhos Vedros
090074,EB1 de Alhos Vedros
090078,Av Bela Rosa 65
090085,Av Humberto Delgado
090086,R Marítimos (X) R Bem Fadada
090088,R Cândido dos Reis (Centro de Saúde)
090090,Av Humberto Delgado 2
090092,Av Bela Rosa 52
100158,CAIS DO SEIXALINHO - P5
100165,CAMINHO VAZA BORRACHAS 47
100222,ESTACAO SÃO JOÃO DAS CRAVEIRAS
100404,CANHA (EM 533) FÁBRICA CORTIÇA
100406,COLARES PERDIZES (EM 533) HERDADE
100423,MONTIJO (AV PORTAS DA CIDADE)
100425,MONTIJO (AV PORTAS DA CIDADE)
100443,PIÇARRAS X N4
100444,PIÇARRAS X N4
110089,ODIVELAS (AV D DINIS 47) MERCADO
110091,ODIVELAS (R GUILH GOMES FERNANDES) (X) F CUNHA
110100,ODIVELAS (AV D DINIS 9)
110112,Senhor Roubado (Metro) P3
110325,Av Liberdade 2 (Casal Chapim)
110350,R Alfredo Costa 12
110399,R Ant Quental 31 (Patameiras)
110475,R Carolina Michaelis 4 (B Bons Dias)
110541,Bº SETE CASTELOS (ESC PEDRO ALEXANDRINO)
110585,R S Tomé E Principe 36 (Olival Basto)
110589,R Macau 5 (Olival Basto)
110595,RUA MARIA MATOS
110627,R M Caldas Xavier (C Comercial)
110630,Senhor Roubado (Metro) P10
110689,PAIÃ (R PEDRO ALV CABRAL) (X)
110700,Pça Luís Camões (PSP)
110702,R M João Luís Moura (X) R P Alv Cabral
110724,Av José Francisco Guerreiro 151A
110783,RUA DE ANGOLA
110853,R Antero Quental (Cemitério)
110854,PATAMEIRAS (CEMITÉRIO)
110855,R Antero Quental 28
110856,PATAMEIRAS (R ANT QUENTAL 28)
110859,R Sto André (Pontinha)
120004,Av Brasília (Rotunda)
120018,Estr da Costa 20
120020,Faculdade de Motricidade Humana
120022,Estr da Costa (Jamor P4)
120024,R da Eira 4
120028,Algés (Estação) P13
120788,Oeiras (Estação) P2 Entrada Norte
130002,PALMELA (AV JUIZ JOSÉ CELEST ATAZ 16A)
130004,PALMELA (AV BOMB VOLUNT) ESC HERM CAPELO
130030,R da Tiaga (X) Est Lameças
130034,Est Lameças (X) R Henrique Franco Silva
130038,Est Lameças (X) R Henrique Franco Silva
130042,Av Bombeiros Voluntários (Santa Casa da Misericórdia)
130052,EM1038 (Agualva de Cima)
130054,EM1038 (Agualva de Cima)
130056,Autoeuropa (Rotunda)
130058,Autoeuropa (Rotunda)
130060,Parque industrial de fornecedores
130064,ATEC
130065,ATEC
130066,R das Fazendas
130094,R das Fazendas
130095,BREJOS DO ASSA CCI-6121
130096,BREJOS DO ASSA CCI-6121_
130097,BREJOS DO ASSA
130098,BREJOS DO ASSA
130333,QTA DO ANJO (RUA DOS LUSIADAS)
130808,Palmela (Terminal) P8
130809,Palmela (Terminal) P9
130810,Palmela (Terminal) P10
140028,Estação de Coina P5
140619,R NORBERTO ARAÚJO 14
140874,Alto do Moinho (R das Azinheiras 15-17)
149000,ATALAIA (FESTA DO AVANTE)
149996,Corroios Estação P5
149997,Corroios Estação P3
149998,Corroios Estação P1
149999,Corroios Estação P2
150335,LAGOA A (PARQUE) PRAIA
150339,PRAIA DO MECO
150340,PRAIA DO MECO _
150437,SESIMBRA (PARQUE CAMPISMO)
150439,R 4 DE MAIO X
150441,R. DE PALAMES 61A
150443,R DE PALAMES 40
150444,R DE PALAMES 40
150600,AIANA DE BAIXO
150601,AIANA DE BAIXO
150602,HERDADE DA APOSTIÇA
150603,HERDADE DA APOSTIÇA
150604,Cabeço da Flauta (SBSR)
160052,MANTEIGADAS _
160071,MANTEIGADAS _
160083,SETÚBAL (R CIDADE BEIRA 1)
160084,SETÚBAL (R CIDADE BEIRA 1)
160246,SETÚBAL (AV PEDRO ÁLVARES CABRAL 11) _
